stress_rank,objectid,stress_pctile,tvwsi,years_in_driest_third,ecological_value,risk_of_development,corridor_type,area_ha,target_width_m,lst,ndvi,priority
1,73,99.34640522875817,-0.009170331268218113,4,Low,Low,Local,0.8428937214937688,20,35.42363300019416,0.7773441479073891,
2,132,98.69281045751634,-0.007707812622788114,4,Moderate,Moderate,Regional,10.539246481039541,50,34.32175462388953,0.7284482919009734,
3,81,98.0392156862745,-0.004122210896711443,4,Moderate,Moderate,Regional,2.8825167405812566,50,31.04278249840583,0.7265373617376158,
4,36,97.38562091503267,-0.002765684205585086,4,Moderate,Low,Regional,4.5796397108426605,60,34.96668096493001,0.6584697963343238,
5,71,96.73202614379085,-0.0018687657566969617,4,Low,Low,Local,0.7768330883638604,20,32.48849320952466,0.7188307767904134,
6,28,96.07843137254902,0.0002582418475091138,4,Low,Moderate,Local,13.804512846489914,60,36.70294998538754,0.8098204816489798,
7,78,95.42483660130719,0.0003717653810779239,4,Moderate,Low,Regional,0.8427058368518752,30,32.520464278746694,0.7925236880680685,
8,1,94.77124183006535,0.0018750584112105224,4,High,Moderate,Local,4.560969755381115,50,31.285007236721338,0.838771293847877,★ priority
9,15,94.11764705882352,0.003535784919344874,4,Moderate,Moderate,Regional,4.090170158868629,60,33.11313455635996,0.86259979631255,
10,121,93.4640522875817,0.0035715353298414985,4,High,Moderate,Regional,7.7222763998565,60,30.68152988836076,0.868299587861147,★ priority
11,70,92.81045751633987,0.004437523710305934,4,Low,Moderate,Local,5.477155574350091,30,34.513720956468084,0.6001886738481832,
12,60,92.15686274509804,0.0048452610718077325,4,Low,Low,Local,4.321476572929261,60,33.04895353280358,0.8732715937306643,
13,133,91.50326797385621,0.004879044198996232,4,Moderate,Moderate,Local,2.433447899058091,60,32.21254849808279,0.8100363192627505,
14,106,90.84967320261438,0.004947135269814993,4,Moderate,Moderate,Regional,2.6632838067339324,50,33.00541544020297,0.848579691617855,
15,150,90.19607843137256,0.005347179078719188,3,Moderate,Low,Local,2.6470813427489657,50,31.508969715192887,0.8089899483395091,
16,5,89.54248366013073,0.005526227114429962,4,Moderate,Moderate,Regional,5.573378653205439,60,37.18009898682596,0.7501519654974095,
17,135,88.88888888888889,0.0059408024208703995,4,Moderate,Low,Local,6.579537637350383,60,35.17142196274148,0.8357916548611339,
18,145,88.23529411764706,0.006499197325631873,4,High,High,Regional,0.3075842684960099,50,30.55179841856159,0.8541159554210579,★ priority
19,27,87.58169934640523,0.006681298922332006,4,Low,Moderate,Local,6.667531114376673,60,36.0994528208122,0.7663145229699536,
20,151,86.9281045751634,0.006908068284865417,4,Moderate,Moderate,Local,3.4857313294107795,30,30.41632452193508,0.7750500343172175,
21,141,86.27450980392157,0.007155120576834879,4,Moderate,Moderate,Local,8.332011172098666,60,31.348727219851888,0.835306590141361,
22,129,85.62091503267975,0.007167750195858072,4,Moderate,Low,Local,6.078809081216239,60,36.33827106228041,0.780964087779583,
23,139,84.9673202614379,0.007204861300491845,3,Moderate,Moderate,Local,13.230505364281184,60,37.82042628239525,0.7298276921296727,
24,143,84.31372549019608,0.007607433322572783,4,High,Moderate,Regional,7.369372214855177,60,30.285008868987966,0.8451147315363521,★ priority
25,33,83.66013071895425,0.007754948401654667,4,Moderate,Moderate,Local,16.956898484613035,60,33.69143337094494,0.7875795468189766,
26,110,83.00653594771241,0.007905974579509086,4,Low,Low,Local,4.942238474719116,30,31.016010019321673,0.7718449236368726,
27,38,82.35294117647058,0.008031111694364197,2,Low,Moderate,Local,0.29363766108005546,30,34.699179063313835,0.5975142799416325,
28,128,81.69934640522875,0.008167495564983546,4,Moderate,Moderate,Local,9.31274764142964,60,35.14814176362313,0.7741774636253344,
29,75,81.04575163398692,0.008497704581752148,3,Low,Low,Local,0.8229449219961156,30,29.304339536741445,0.8251489683809315,
30,9,80.3921568627451,0.008665451784774354,3,High,Low,Local,3.8575297221025338,60,34.99819910887873,0.7979571798465768,★ priority
31,108,79.73856209150327,0.00906716601632403,4,High,Moderate,Regional,0.36602349509193516,30,30.947092879452075,0.749755315090282,★ priority
32,124,79.08496732026144,0.00948025407276569,2,Moderate,Moderate,Regional,4.580675655450775,60,29.19711145870901,0.8245397143024448,
33,32,78.43137254901961,0.009549082453268127,3,Moderate,Moderate,Local,1.8213621112947531,30,33.72456687881328,0.7635241730056574,
34,13,77.77777777777779,0.009889013528488947,3,High,Low,Regional,18.35438555300162,100,27.667390283647023,0.8118942886328856,★ priority
35,100,77.12418300653596,0.009953725373173078,2,Low,High,Local,2.0172540301427877,30,31.683451576644313,0.7916012379135002,★ priority
36,107,76.47058823529412,0.009955938870823477,2,High,Moderate,Regional,3.967283604431662,60,29.905776034489797,0.8281416224294528,★ priority
37,34,75.81699346405229,0.01026380208475986,2,Moderate,Moderate,Local,8.47173695328056,60,33.118618513830114,0.8185405591988458,
38,67,75.16339869281046,0.010303750819504274,3,Moderate,High,Local,2.9495727830400056,30,29.27685064580662,0.8382012429051303,★ priority
39,37,74.50980392156863,0.01046385081136017,3,Moderate,Moderate,Local,4.305905537721638,50,32.596138997833236,0.7991577341161689,
40,18,73.8562091503268,0.010510949845861801,3,Moderate,Moderate,Local,3.1577013118659876,60,33.32030659972002,0.8528436515241842,
41,51,73.20261437908498,0.010581154466451349,3,Moderate,High,Local,7.277128791804312,60,31.423011420795245,0.7828387602808928,★ priority
42,50,72.54901960784314,0.010821603982904477,3,Moderate,Moderate,Local,7.361579666187003,60,32.92596385213335,0.7615354694194525,
43,125,71.89542483660131,0.010966073792623324,2,Low,Moderate,Local,6.977870801303224,60,36.50617742303264,0.6454755369660119,
44,11,71.24183006535948,0.010989569806606064,2,Moderate,Moderate,Regional,10.62986145150974,50,32.92396642867911,0.760186349402678,
45,57,70.58823529411764,0.011018645484686068,2,High,Moderate,Regional,11.049229505982002,100,27.45599033852171,0.7974766155423052,★ priority
46,127,69.93464052287581,0.011119582683875785,2,High,Low,Local,13.069853837476211,80,34.30854041900796,0.8326979059684371,★ priority
47,72,69.28104575163398,0.011492495363069835,2,Moderate,Moderate,Regional,5.15799294444797,50,32.753756992331624,0.8439811122473864,
48,20,68.62745098039215,0.011585050574820609,2,Moderate,Moderate,Regional,6.690221698754351,50,32.4350326838982,0.835596171933122,
49,68,67.97385620915033,0.01168654760402072,2,Moderate,High,Local,0.9692130641759482,30,30.069941023810944,0.8630662234700723,★ priority
50,93,67.3202614379085,0.011780758762101946,2,High,Moderate,Regional,30.58116278031619,100,27.74945727732291,0.8807097639197393,★ priority
51,40,66.66666666666667,0.011934527789200594,2,Moderate,Moderate,Local,12.711705942117412,60,32.29184097790625,0.7506444114765322,
52,142,66.01307189542483,0.01220855182239134,2,Moderate,Moderate,Regional,11.066961013836107,50,33.01385965511259,0.6850907429567767,
53,117,65.359477124183,0.012410059001417846,1,High,Moderate,Regional,20.39509176993938,100,29.143802756076518,0.8036266874624939,
54,137,64.70588235294117,0.012569305124038359,1,High,Low,Regional,28.039740691118222,100,32.46579966672125,0.8371249026211341,
55,19,64.05228758169935,0.012788383083980667,2,Moderate,Low,Local,5.76487234601392,60,37.38912434839862,0.5351482546862552,
56,3,63.39869281045751,0.01279354240731779,2,High,Moderate,Local,0.6030792675235858,30,33.86945379710022,0.807311911457555,
57,59,62.745098039215684,0.013026508249859845,2,Low,High,Local,1.5591879531796236,20,34.189955552863786,0.6733448473608369,
58,89,62.091503267973856,0.013070095588412284,1,High,Low,Regional,6.876237724221561,70,35.09099602260155,0.7248108982451126,
59,56,61.43790849673203,0.013104678483778238,1,High,Moderate,Regional,29.092227695294174,100,27.7008553855887,0.8069616324963366,
60,10,60.7843137254902,0.013152287986542674,1,Moderate,Moderate,Regional,4.506895874252217,100,33.59274191003508,0.773574763470531,
61,49,60.130718954248366,0.013179776782632545,2,High,High,Regional,2.3727467094009107,50,28.244946115599454,0.8751751388027891,
62,64,59.47712418300654,0.013221432436029553,1,Moderate,Moderate,Local,7.032373456167963,60,32.64786818276396,0.8534909185871931,
63,61,58.82352941176471,0.013285011192929106,2,Low,Low,Local,1.46995685594729,30,33.71814939048288,0.7131115057503846,
64,102,58.16993464052287,0.013489283337272999,1,Moderate,Moderate,Local,2.613797647659461,50,32.55305755932123,0.8348487163726566,
65,138,57.51633986928104,0.013543527153475935,0,Moderate,Moderate,Regional,11.41421514426795,60,32.65976103473254,0.7945667705766061,
66,103,56.86274509803921,0.013727666386686762,2,High,Moderate,Regional,6.564925137811074,100,32.8472906264228,0.6516060400575967,
67,97,56.209150326797385,0.014180001686372207,0,Moderate,High,Local,6.0786859261758375,50,29.9375778449658,0.8403519429684579,
68,29,55.55555555555556,0.014717715972302217,1,Low,Low,Local,1.868208657173981,30,36.50934518836295,0.6602859099456626,
69,58,54.90196078431373,0.014874102426593316,1,Moderate,Moderate,Local,3.4377406110705166,40,31.948426270163353,0.6792728176931236,
70,795,54.2483660130719,0.015096531196899542,0,,,,8.328132407115532,50,29.254308118793777,0.814246541157991,
71,115,53.59477124183007,0.015244385861605087,0,High,Moderate,Regional,7.889347745318366,50,31.14552054479499,0.7314154269568773,
72,24,52.94117647058824,0.015306412914685215,0,High,Moderate,Local,6.061270776722337,60,37.528652558436114,0.6789439230160418,
73,17,52.2875816993464,0.0156138451914728,2,Moderate,Low,Local,8.222278233614482,60,38.00897844766301,0.5186525772767214,
74,55,51.63398692810457,0.01565299752944784,1,Moderate,Moderate,Local,7.31169829869225,60,31.232676114889998,0.8430266725104409,
75,74,50.98039215686274,0.015680697924225356,1,Low,Low,Local,0.4831884306841461,30,29.065919907676143,0.8714606137678301,
