pair,role,predicted,site_code,visit,gin_id,rank_published,cdei,vh,ndvi,area_ha,target_width_m,edge_buffer_m,corridor_type,lat,lon
6,primary,reference,S01,1.0,10,87,0.01997,0.04365,0.868,11.73,50,25.4,Regional,49.06826,-122.82212
6,primary,stressed,S02,2.0,6,6,0.00037,0.04168,0.793,0.84,30,10.1,Regional,49.0458,-122.86182
10,primary,stressed,S03,3.0,18,13,0.00495,0.04513,0.849,2.66,50,22.4,Regional,49.0678,-122.81534
10,primary,reference,S04,4.0,5,79,0.01794,0.04455,0.821,1.11,50,20.0,Regional,49.05506,-122.8655
7,primary,reference,S05,5.0,7,90,0.0211,0.04758,0.872,8.21,50,20.3,Regional,49.04229,-122.86095
7,primary,stressed,S06,6.0,20,11,0.00485,0.04865,0.873,4.32,60,27.8,Local,49.06437,-122.80386
1,primary,stressed,S07,7.0,63,10,0.00444,0.02923,0.6,5.48,30,10.4,Local,49.06044,-122.76146
1,primary,reference,S08,8.0,19,121,0.03218,0.02966,0.593,1.86,30,10.0,Local,49.06584,-122.8098
3,primary,reference,S09,9.0,35,115,0.02983,0.04123,0.697,9.59,100,49.5,Regional,49.02624,-122.76438
3,primary,stressed,S10,10.0,38,24,0.00791,0.04126,0.772,4.94,30,15.1,Local,49.02187,-122.72861
4,primary,stressed,S11,11.0,2,3,-0.00412,0.03939,0.727,2.88,50,20.0,Regional,49.0534,-122.87926
4,primary,reference,S12,12.0,4,91,0.02167,0.03939,0.774,4.32,50,20.6,Regional,49.05501,-122.87353
5,primary,reference,S13,13.0,116,105,0.0245,0.04664,0.803,3.05,60,29.3,Regional,49.17139,-122.75291
5,primary,stressed,S14,14.0,129,18,0.00691,0.04553,0.775,3.49,30,12.2,Local,49.17375,-122.70853
8,primary,reference,S15,15.0,112,104,0.02382,0.04329,0.809,52.44,100,45.5,Regional,49.21044,-122.77212
8,primary,stressed,S16,16.0,113,28,0.00867,0.04508,0.798,3.86,60,26.2,Local,49.19562,-122.7748
12,primary,reference,S17,17.0,125,117,0.03165,0.05054,0.9,2.44,50,21.8,Regional,49.16703,-122.7316
12,primary,stressed,S18,18.0,127,55,0.01318,0.04858,0.875,2.37,50,20.1,Regional,49.16674,-122.72406
2,primary,stressed,S19,19.0,36,7,0.00188,0.04456,0.839,4.56,50,25.7,Local,49.02267,-122.77297
2,primary,reference,S20,20.0,31,100,0.0233,0.04566,0.87,6.62,50,20.6,Regional,49.04242,-122.72764
9,primary,stressed,S21,21.0,89,5,0.00026,0.04936,0.81,13.8,60,42.1,Local,49.15924,-122.84951
9,primary,reference,S22,22.0,85,77,0.01699,0.04885,0.853,6.68,60,30.9,Local,49.14085,-122.82494
11,primary,reference,S23,23.0,34,113,0.02701,0.04128,0.824,11.77,100,71.9,Regional,49.02438,-122.75859
11,primary,stressed,S24,24.0,50,48,0.01241,0.0415,0.804,20.4,100,63.3,Regional,49.02116,-122.69841
13,reserve,stressed,R13A,,82,31,0.00955,0.02636,0.764,1.82,30,10.0,Local,49.13652,-122.75696
13,reserve,reference,R13B,,115,122,0.03559,0.0266,0.567,6.72,30,10.0,Local,49.17555,-122.78956
14,reserve,stressed,R14B,,67,25,0.00803,0.02878,0.598,0.29,30,10.0,Local,49.09715,-122.80666
14,reserve,reference,R14A,,78,92,0.02181,0.02985,0.782,5.16,60,26.0,Regional,49.12664,-122.78998
15,reserve,stressed,R15A,,64,4,-0.00277,0.03715,0.658,4.58,60,25.0,Regional,49.10032,-122.76211
15,reserve,reference,R15B,,22,67,0.01565,0.03885,0.843,7.31,60,30.1,Local,49.06167,-122.77792
